Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Effective Date,Accrual Date
"TREASURY NOTE","Treasury","Fixed Income","4,415,144.45","30.68","4,415,144.45","3,960,000.00","9128282R0","US9128282R06","BF53YJ5","110.71","United States","-","USD","6.18","0.60","1.00","Aug 15, 2027","2.25","6.18","-","0.60","6.18","0.60","USD","Aug 15, 2017","Aug 15, 2017"
"TREASURY NOTE","Treasury","Fixed Income","4,260,054.40","29.61","4,260,054.40","4,288,600.00","91282CAH4","US91282CAH43","BMV9TY6","99.18","United States","-","USD","6.56","0.63","1.00","Aug 31, 2027","0.50","6.56","-","0.63","6.56","0.63","USD","Aug 31, 2020","Aug 31, 2020"
"TREASURY NOTE","Treasury","Fixed Income","2,482,081.16","17.25","2,482,081.16","2,234,200.00","9128283F5","US9128283F58","BF92XX5","110.87","United States","-","USD","6.42","0.64","1.00","Nov 15, 2027","2.25","6.43","-","0.64","6.43","0.64","USD","Nov 15, 2017","Nov 15, 2017"
"TREASURY NOTE","Treasury","Fixed Income","1,740,333.52","12.10","1,740,333.52","1,565,700.00","912828V98","US912828V988","BYPG9T2","110.37","United States","-","USD","5.75","0.53","1.00","Feb 15, 2027","2.25","5.75","-","0.53","5.75","0.53","USD","Feb 15, 2017","Feb 15, 2017"
"TREASURY NOTE","Treasury","Fixed Income","689,995.37","4.80","689,995.37","618,300.00","912828X88","US912828X885","BF0T9Y8","111.36","United States","-","USD","5.97","0.57","1.00","May 15, 2027","2.38","5.97","-","0.57","5.97","0.57","USD","May 15, 2017","May 15, 2017"
"TREASURY BOND","Treasury","Fixed Income","461,879.50","3.21","461,879.50","330,000.00","912810FA1","US912810FA17","2094937","137.75","United States","-","USD","5.61","0.58","1.00","Aug 15, 2027","6.38","5.61","-","0.58","5.61","0.58","USD","Aug 15, 1997","Aug 15, 1997"
"TREASURY NOTE (OTR)","Treasury","Fixed Income","274,454.63","1.91","274,454.63","275,000.00","91282CAY7","US91282CAY75","BLH34Q2","99.77","United States","-","USD","6.78","0.66","1.00","Nov 30, 2027","0.63","6.78","-","0.66","6.78","0.66","USD","Nov 30, 2020","Nov 30, 2020"
"TREASURY NOTE","Treasury","Fixed Income","60,664.94","0.42","60,664.94","61,000.00","912828ZS2","US912828ZS21","BLB6SP4","99.42","United States","-","USD","6.33","0.59","1.00","May 31, 2027","0.50","6.33","-","0.59","6.33","0.59","USD","Jun 01, 2020","May 31, 2020"
"TREASURY NOTE","Treasury","Fixed Income","3,633.86","0.03","3,633.86","3,500.00","912828ZB9","US912828ZB95","-","103.48","United States","-","USD","5.96","0.55","1.00","Feb 28, 2027","1.13","5.97","-","0.55","5.97","0.55","USD","Mar 02, 2020","Feb 29, 2020"
"USD CASH","Cash and/or Derivatives","Cash","453.13","0.00","453.13","453.00","-","-","-","100.00","United States","-","USD","0.00","0.15","1.00","-","0.00","0.00","-","0.15","0.00","0.15","USD","Jan 01, 1989","-"
