Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Effective Date,Accrual Date
"HYG","ISHARES IBOXX $ HIGH YIELD CORP BO","ETFs","Equity","53,399,843.36","19.92","53,399,843.36","617,482.00","617,482.00","464288513","US4642885135","B1VZ486","86.48","United States","NYSE Arca","USD","3.34","4.75","1.00","-","0.00","4.69","-","4.10","2.95","4.10","USD","Apr 04, 2007","Apr 12, 2007"
"IDV","ISHARES INTERNATIONAL SELECT DIVID","ETFs","Equity","41,126,536.25","15.34","41,126,536.25","1,419,625.00","1,419,625.00","464288448","US4642884484","B1YYR25","28.97","United States","Cboe BZX formerly known as BATS","USD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","USD","Jun 11, 2007","-"
"PFF","ISHARES PREFERRED AND INCOME SECUR","ETFs","Equity","40,307,861.66","15.04","40,307,861.66","1,059,061.00","1,059,061.00","464288687","US4642886877","B1FLNF0","38.06","United States","NASDAQ","USD","2.92","5.63","1.00","-","0.00","10.92","-","3.18","3.85","3.18","USD","Mar 30, 2007","-"
"TLT","ISHARES 20+ YEAR TREASURY BOND ETF","Treasury","Equity","38,864,807.04","14.50","38,864,807.04","246,354.00","246,354.00","464287432","US4642874329","2971546","157.76","United States","NASDAQ","USD","19.02","1.59","1.00","-","0.00","19.30","-","1.59","19.30","1.59","USD","Jul 22, 2002","-"
"TLH","ISHARES 10-20 YEAR TREASURY BOND E","Treasury","Equity","38,551,746.24","14.38","38,551,746.24","242,144.00","242,144.00","464288653","US4642886539","B1MYR61","159.21","United States","NYSE Arca","USD","14.91","1.35","1.00","-","0.00","15.01","-","1.35","15.01","1.35","USD","Jan 05, 2007","-"
"LEMB","ISHARES JP MORGAN EM LOCAL CURRENC","ETFs","Equity","15,082,687.52","5.63","15,082,687.52","336,592.00","336,592.00","464286517","US4642865178","B74T1X1","44.81","United States","NYSE Arca","USD","5.21","4.35","1.00","-","0.00","5.26","-","4.35","5.26","4.35","USD","Oct 17, 2011","-"
"DVYE","ISHARES EMERGING MARKETS DIVIDEND","ETFs","Equity","14,054,187.30","5.24","14,054,187.30","388,130.00","388,130.00","464286319","US4642863199","B7MXGM9","36.21","United States","NYSE Arca","USD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","USD","Feb 22, 2012","-"
"REM","ISHARES MORTGAGE REAL ESTATE ETF","Equity","Equity","12,209,362.40","4.55","12,209,362.40","392,584.00","392,584.00","46435G342","US46435G3424","BDR7G39","31.10","United States","Cboe BZX formerly known as BATS","USD","0.00","0.00","1.00","-","0.00","0.00","-","0.00","0.00","0.00","USD","May 01, 2007","-"
"EMB","ISHARES JPMORGAN USD EMERGING MARK","ETFs","Equity","11,867,184.98","4.43","11,867,184.98","103,166.00","103,166.00","464288281","US4642882819","B2B1JH5","115.03","United States","NASDAQ","USD","8.80","3.90","1.00","-","0.00","8.84","-","3.89","8.81","3.89","USD","Dec 17, 2007","-"
"IFGL","ISHARES INTERNATIONAL DEV RL EST E","Equity","Equity","1,470,764.14","0.55","1,470,764.14","55,753.00","55,753.00","464288489","US4642884898","B29FBK6","26.38","United States","NASDAQ","USD","0.00","0.00","1.00","-","0.00","0.00","-","0.00","0.00","0.00","USD","Nov 12, 2007","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","750,000.00","0.28","750,000.00","750,000.00","750,000.00","066922477","US0669224778","-","1.00","United States","-","USD","0.09","0.09","1.00","-","0.14","0.12","-","0.09","0.12","0.09","USD","Feb 04, 2009","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","407,575.06","0.15","407,575.06","407,575.00","407,575.00","-","-","-","100.00","United States","-","USD","0.00","0.14","1.00","-","0.00","0.00","-","0.14","0.00","0.14","USD","Jan 01, 1989","-"
