Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Effective Date,Accrual Date
"TREASURY NOTE","Treasury","Fixed Income","7,190,723.56","19.98","7,190,723.56","6,650,000.00","9128285P1","US9128285P13","BGSLD29","107.56","United States","-","USD","2.70","0.17","1.00","Nov 30, 2023","2.88","2.70","-","0.17","2.70","0.17","USD","Nov 30, 2018","Nov 30, 2018"
"TREASURY NOTE","Treasury","Fixed Income","6,973,660.60","19.38","6,973,660.60","6,510,000.00","912828VS6","US912828VS66","BCZP0C5","105.91","United States","-","USD","2.42","0.15","1.00","Aug 15, 2023","2.50","2.42","-","0.15","2.42","0.15","USD","Aug 15, 2013","Aug 15, 2013"
"TREASURY NOTE","Treasury","Fixed Income","6,712,023.15","18.65","6,712,023.15","6,300,000.00","9128284S6","US9128284S60","BD5J3K3","106.00","United States","-","USD","2.24","0.14","1.00","May 31, 2023","2.75","2.24","-","0.14","2.24","0.14","USD","May 31, 2018","May 31, 2018"
"TREASURY NOTE","Treasury","Fixed Income","4,973,790.10","13.82","4,973,790.10","4,760,000.00","9128283U2","US9128283U26","BFMTY74","104.43","United States","-","USD","1.94","0.13","1.00","Jan 31, 2023","2.38","1.94","-","0.13","1.94","0.13","USD","Jan 31, 2018","Jan 31, 2018"
"TREASURY NOTE","Treasury","Fixed Income","4,473,565.61","12.43","4,473,565.61","4,200,000.00","912828Y61","US912828Y610","BFNQW92","106.44","United States","-","USD","2.40","0.14","1.00","Jul 31, 2023","2.75","2.41","-","0.14","2.41","0.14","USD","Jul 31, 2018","Jul 31, 2018"
"TREASURY NOTE","Treasury","Fixed Income","4,165,276.07","11.58","4,165,276.07","3,850,000.00","9128285K2","US9128285K26","BGN70C1","107.38","United States","-","USD","2.62","0.15","1.00","Oct 31, 2023","2.88","2.62","-","0.15","2.62","0.15","USD","Oct 31, 2018","Oct 31, 2018"
"BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","927,000.00","2.58","927,000.00","927,000.00","066922477","US0669224778","-","1.00","United States","-","USD","0.11","0.06","1.00","-","0.11","0.11","-","0.06","0.11","0.06","USD","Feb 04, 2009","-"
"TREASURY NOTE","Treasury","Fixed Income","219,854.01","0.61","219,854.01","219,200.00","91282CAW1","US91282CAW10","BN7JWS2","100.24","United States","-","USD","2.75","0.16","1.00","Nov 15, 2023","0.25","2.75","-","0.16","2.75","0.16","USD","Nov 16, 2020","Nov 15, 2020"
"TREASURY NOTE","Treasury","Fixed Income","199,325.02","0.55","199,325.02","199,400.00","91282CAP6","US91282CAP68","BMD3XJ9","99.92","United States","-","USD","2.67","0.15","1.00","Oct 15, 2023","0.13","2.67","-","0.15","2.67","0.15","USD","Oct 15, 2020","Oct 15, 2020"
"TREASURY NOTE (2OLD)","Treasury","Fixed Income","139,841.47","0.39","139,841.47","140,000.00","91282CBA8","US91282CBA80","BNKD5P9","99.87","United States","-","USD","2.84","0.17","1.00","Dec 15, 2023","0.13","2.84","-","0.17","2.84","0.17","USD","Dec 15, 2020","Dec 15, 2020"
"USD CASH","Cash and/or Derivatives","Cash","6,016.42","0.02","6,016.42","6,016.00","-","-","-","100.00","United States","-","USD","0.00","0.11","1.00","-","0.00","0.00","-","0.11","0.00","0.11","USD","Jan 01, 1989","-"
